id,type,title,relevance,image,location_type,coordinates,price,occupancy,description,
urn:ngsi-ld:PoI:000,PoI,Jardines de la Rosaleda,3,,Point,"-3.719742,40.41966",0€,200,"Los Jardines de la Rosaleda, también conocidos como la Rosaleda del Parque del Oeste, son un hermoso jardín de rosas en Madrid, ideal para pasear y disfrutar de la gran variedad de flores.",
urn:ngsi-ld:PoI:001,PoI,Plaza de la Cebada,4,,Point,"-3.709256,40.411882",0€,300,"La Plaza de la Cebada es una plaza vibrante en el barrio de La Latina, conocida por su mercado y su ambiente animado, especialmente durante el fin de semana.",
urn:ngsi-ld:PoI:002,PoI,Parque del Cerro del Tío Pío,4,,Point,"-3.662148,40.39121",0€,400,"El Parque del Cerro del Tío Pío, también conocido como el Parque de las Siete Tetas, ofrece unas vistas espectaculares de Madrid desde sus colinas, especialmente al atardecer.",
urn:ngsi-ld:PoI:003,PoI,Parque del Retiro,1,pdretiro.jpeg,Point,"-3.6834,40.41526",0€,500,"El Parque del Retiro es uno de los lugares más emblemáticos de Madrid. Conocido por sus amplios jardines, estanques y monumentos, es un lugar ideal para pasear, hacer deporte o simplemente relajarse. Entre sus principales atracciones se encuentran el Palacio de Cristal, el estanque grande y la estatua del Ángel Caído.",
urn:ngsi-ld:PoI:004,PoI,Museo del Prado,1,mdprado.jpeg,Point,"-3.692127,40.41378",15€,100,"El Museo del Prado es el museo más importante de España y uno de los más prestigiosos del mundo. Alberga una extensa colección de obras de arte europeas que datan del siglo XII al siglo XIX. Destacan las pinturas de Velázquez, Goya, El Bosco, Tiziano y Rubens.",
urn:ngsi-ld:PoI:005,PoI,Palacio Real de Madrid,1,palacioreal.jpeg,Point,"-3.714312,40.41798",12€,200,"El Palacio Real de Madrid, también conocido como el Palacio de Oriente, es la residencia oficial de la Familia Real Española, aunque solo se utiliza para ceremonias de Estado. Con más de 3.000 habitaciones, es uno de los palacios más grandes de Europa y destaca por su impresionante arquitectura y sus lujosos interiores.",
urn:ngsi-ld:PoI:006,PoI,Templo de Debod,2,debod.jpg,Point,"-3.720457,40.424033",0€,150,El Templo de Debod es un antiguo templo egipcio que fue desmontado y reconstruido en Madrid. Es uno de los pocos edificios de origen egipcio que se pueden ver fuera de Egipto y ofrece unas vistas impresionantes de la ciudad desde el parque donde se encuentra.,
urn:ngsi-ld:PoI:007,PoI,Plaza Mayor,1,Plaza_Mayor_de_Madrid_06.jpg,Point,"-3.707398,40.415364",0€,300,"La Plaza Mayor es una de las plazas más conocidas y visitadas de Madrid. Rodeada de edificios históricos y con una estatua ecuestre de Felipe III en el centro, es un punto de encuentro popular tanto para turistas como para locales.",
urn:ngsi-ld:PoI:008,PoI,Gran Vía,2,Gran_Via_1.jpg,Point,"-3.70379,40.42019",0€,1000,"La Gran Vía es una de las principales calles comerciales de Madrid. Conocida por sus impresionantes edificios, teatros y tiendas, es un lugar perfecto para disfrutar de un paseo, ir de compras o ver un espectáculo.",
urn:ngsi-ld:PoI:009,PoI,Museo Reina Sofía,1,museo_reina_sofia.jpg,Point,"-3.694159,40.408665",10€,200,"El Museo Reina Sofía es el principal museo de arte contemporáneo de Madrid. Alberga una impresionante colección de arte del siglo XX, incluyendo obras maestras de artistas como Pablo Picasso, Salvador Dalí y Joan Miró.",
